DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,O3,O3_OK,REGION
2019-01-01 12:00,2019-01-01,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.5,01 - Vancouver Island
2019-01-02 12:00,2019-01-02,12:00,Victoria Topaz,VICTORIA TOPAZ,10,9.2,01 - Vancouver Island
2019-01-03 12:00,2019-01-03,12:00,Victoria Topaz,VICTORIA TOPAZ,15,14.8,01 - Vancouver Island
2019-01-04 12:00,2019-01-04,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.1,01 - Vancouver Island
2019-01-05 12:00,2019-01-05,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.6,01 - Vancouver Island
2019-01-06 12:00,2019-01-06,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.7,01 - Vancouver Island
2019-01-07 12:00,2019-01-07,12:00,Victoria Topaz,VICTORIA TOPAZ,32,31.4,01 - Vancouver Island
2019-01-08 12:00,2019-01-08,12:00,Victoria Topaz,VICTORIA TOPAZ,32,31.7,01 - Vancouver Island
2019-01-09 12:00,2019-01-09,12:00,Victoria Topaz,VICTORIA TOPAZ,19,18.6,01 - Vancouver Island
2019-01-10 12:00,2019-01-10,12:00,Victoria Topaz,VICTORIA TOPAZ,17,16.1,01 - Vancouver Island
2019-01-11 12:00,2019-01-11,12:00,Victoria Topaz,VICTORIA TOPAZ,14,13.6,01 - Vancouver Island
2019-01-12 12:00,2019-01-12,12:00,Victoria Topaz,VICTORIA TOPAZ,18,17.5,01 - Vancouver Island
2019-01-13 12:00,2019-01-13,12:00,Victoria Topaz,VICTORIA TOPAZ,18,17.2,01 - Vancouver Island
2019-01-14 12:00,2019-01-14,12:00,Victoria Topaz,VICTORIA TOPAZ,15,14.5,01 - Vancouver Island
2019-01-15 12:00,2019-01-15,12:00,Victoria Topaz,VICTORIA TOPAZ,13,13,01 - Vancouver Island
2019-01-16 12:00,2019-01-16,12:00,Victoria Topaz,VICTORIA TOPAZ,12,11.3,01 - Vancouver Island
2019-01-17 12:00,2019-01-17,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.1,01 - Vancouver Island
2019-01-18 12:00,2019-01-18,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.3,01 - Vancouver Island
2019-01-19 12:00,2019-01-19,12:00,Victoria Topaz,VICTORIA TOPAZ,33,33,01 - Vancouver Island
2019-01-20 12:00,2019-01-20,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.5,01 - Vancouver Island
2019-01-21 12:00,2019-01-21,12:00,Victoria Topaz,VICTORIA TOPAZ,22,21.7,01 - Vancouver Island
2019-01-22 12:00,2019-01-22,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.2,01 - Vancouver Island
2019-01-23 12:00,2019-01-23,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-01-24 12:00,2019-01-24,12:00,Victoria Topaz,VICTORIA TOPAZ,14,13.8,01 - Vancouver Island
2019-01-25 12:00,2019-01-25,12:00,Victoria Topaz,VICTORIA TOPAZ,13,12.9,01 - Vancouver Island
2019-01-26 12:00,2019-01-26,12:00,Victoria Topaz,VICTORIA TOPAZ,16,16,01 - Vancouver Island
2019-01-27 12:00,2019-01-27,12:00,Victoria Topaz,VICTORIA TOPAZ,16,15.6,01 - Vancouver Island
2019-01-28 12:00,2019-01-28,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.2,01 - Vancouver Island
2019-01-29 12:00,2019-01-29,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.7,01 - Vancouver Island
2019-01-30 12:00,2019-01-30,12:00,Victoria Topaz,VICTORIA TOPAZ,18,17.6,01 - Vancouver Island
2019-01-31 12:00,2019-01-31,12:00,Victoria Topaz,VICTORIA TOPAZ,10,9.3,01 - Vancouver Island
2019-02-01 12:00,2019-02-01,12:00,Victoria Topaz,VICTORIA TOPAZ,9,8.8,01 - Vancouver Island
2019-02-02 12:00,2019-02-02,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.4,01 - Vancouver Island
2019-02-03 12:00,2019-02-03,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.3,01 - Vancouver Island
2019-02-04 12:00,2019-02-04,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.2,01 - Vancouver Island
2019-02-05 12:00,2019-02-05,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.3,01 - Vancouver Island
2019-02-06 12:00,2019-02-06,12:00,Victoria Topaz,VICTORIA TOPAZ,38,37.8,01 - Vancouver Island
2019-02-07 12:00,2019-02-07,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.6,01 - Vancouver Island
2019-02-08 12:00,2019-02-08,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.6,01 - Vancouver Island
2019-02-09 12:00,2019-02-09,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.6,01 - Vancouver Island
2019-02-10 12:00,2019-02-10,12:00,Victoria Topaz,VICTORIA TOPAZ,36,36,01 - Vancouver Island
2019-02-11 12:00,2019-02-11,12:00,Victoria Topaz,VICTORIA TOPAZ,34,33.8,01 - Vancouver Island
2019-02-12 12:00,2019-02-12,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.4,01 - Vancouver Island
2019-02-13 12:00,2019-02-13,12:00,Victoria Topaz,VICTORIA TOPAZ,30,29.2,01 - Vancouver Island
