DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,NOX,REGION
##########,2019-01-01,12:00,Victoria Topaz,VICTORIA TOPAZ,3.5,01 - Vancouver Island
##########,2019-01-02,12:00,Victoria Topaz,VICTORIA TOPAZ,10.5,01 - Vancouver Island
##########,2019-01-03,12:00,Victoria Topaz,VICTORIA TOPAZ,9.5,01 - Vancouver Island
##########,2019-01-04,12:00,Victoria Topaz,VICTORIA TOPAZ,9.5,01 - Vancouver Island
##########,2019-01-05,12:00,Victoria Topaz,VICTORIA TOPAZ,5.1,01 - Vancouver Island
##########,2019-01-06,12:00,Victoria Topaz,VICTORIA TOPAZ,4.7,01 - Vancouver Island
##########,2019-01-07,12:00,Victoria Topaz,VICTORIA TOPAZ,7.1,01 - Vancouver Island
##########,2019-01-08,12:00,Victoria Topaz,VICTORIA TOPAZ,4.6,01 - Vancouver Island
##########,2019-01-09,12:00,Victoria Topaz,VICTORIA TOPAZ,14,01 - Vancouver Island
##########,2019-01-10,12:00,Victoria Topaz,VICTORIA TOPAZ,13.8,01 - Vancouver Island
##########,2019-01-11,12:00,Victoria Topaz,VICTORIA TOPAZ,9.3,01 - Vancouver Island
##########,2019-01-12,12:00,Victoria Topaz,VICTORIA TOPAZ,6.2,01 - Vancouver Island
##########,2019-01-13,12:00,Victoria Topaz,VICTORIA TOPAZ,5.6,01 - Vancouver Island
##########,2019-01-14,12:00,Victoria Topaz,VICTORIA TOPAZ,10.1,01 - Vancouver Island
##########,2019-01-15,12:00,Victoria Topaz,VICTORIA TOPAZ,14.2,01 - Vancouver Island
##########,2019-01-16,12:00,Victoria Topaz,VICTORIA TOPAZ,15.7,01 - Vancouver Island
##########,2019-01-17,12:00,Victoria Topaz,VICTORIA TOPAZ,4.6,01 - Vancouver Island
##########,2019-01-18,12:00,Victoria Topaz,VICTORIA TOPAZ,5.4,01 - Vancouver Island
##########,2019-01-19,12:00,Victoria Topaz,VICTORIA TOPAZ,7.5,01 - Vancouver Island
##########,2019-01-20,12:00,Victoria Topaz,VICTORIA TOPAZ,4.5,01 - Vancouver Island
##########,2019-01-21,12:00,Victoria Topaz,VICTORIA TOPAZ,8.3,01 - Vancouver Island
##########,2019-01-22,12:00,Victoria Topaz,VICTORIA TOPAZ,5.3,01 - Vancouver Island
##########,2019-01-23,12:00,Victoria Topaz,VICTORIA TOPAZ,,01 - Vancouver Island
##########,2019-01-24,12:00,Victoria Topaz,VICTORIA TOPAZ,9.9,01 - Vancouver Island
##########,2019-01-25,12:00,Victoria Topaz,VICTORIA TOPAZ,8.8,01 - Vancouver Island
##########,2019-01-26,12:00,Victoria Topaz,VICTORIA TOPAZ,5.8,01 - Vancouver Island
##########,2019-01-27,12:00,Victoria Topaz,VICTORIA TOPAZ,6.6,01 - Vancouver Island
##########,2019-01-28,12:00,Victoria Topaz,VICTORIA TOPAZ,6.4,01 - Vancouver Island
##########,2019-01-29,12:00,Victoria Topaz,VICTORIA TOPAZ,7.5,01 - Vancouver Island
##########,2019-01-30,12:00,Victoria Topaz,VICTORIA TOPAZ,11.3,01 - Vancouver Island
##########,2019-01-31,12:00,Victoria Topaz,VICTORIA TOPAZ,22.7,01 - Vancouver Island
##########,2019-02-01,12:00,Victoria Topaz,VICTORIA TOPAZ,17,01 - Vancouver Island
##########,2019-02-02,12:00,Victoria Topaz,VICTORIA TOPAZ,4.7,01 - Vancouver Island
##########,2019-02-03,12:00,Victoria Topaz,VICTORIA TOPAZ,3,01 - Vancouver Island
##########,2019-02-04,12:00,Victoria Topaz,VICTORIA TOPAZ,2.1,01 - Vancouver Island
##########,2019-02-05,12:00,Victoria Topaz,VICTORIA TOPAZ,3.1,01 - Vancouver Island
##########,2019-02-06,12:00,Victoria Topaz,VICTORIA TOPAZ,2.7,01 - Vancouver Island
##########,2019-02-07,12:00,Victoria Topaz,VICTORIA TOPAZ,8.1,01 - Vancouver Island
##########,2019-02-08,12:00,Victoria Topaz,VICTORIA TOPAZ,7.3,01 - Vancouver Island
##########,2019-02-09,12:00,Victoria Topaz,VICTORIA TOPAZ,1.7,01 - Vancouver Island
##########,2019-02-10,12:00,Victoria Topaz,VICTORIA TOPAZ,4.1,01 - Vancouver Island
##########,2019-02-11,12:00,Victoria Topaz,VICTORIA TOPAZ,2.8,01 - Vancouver Island
##########,2019-02-12,12:00,Victoria Topaz,VICTORIA TOPAZ,4.3,01 - Vancouver Island
##########,2019-02-13,12:00,Victoria Topaz,VICTORIA TOPAZ,5.4,01 - Vancouver Island
##########,2019-02-14,12:00,Victoria Topaz,VICTORIA TOPAZ,,01 - Vancouver Island
##########,2019-02-15,12:00,Victoria Topaz,VICTORIA TOPAZ,,01 - Vancouver Island
##########,2019-02-16,12:00,Victoria Topaz,VICTORIA TOPAZ,8.8,01 - Vancouver Island
##########,2019-02-17,12:00,Victoria Topaz,VICTORIA TOPAZ,2,01 - Vancouver Island
##########,2019-02-18,12:00,Victoria Topaz,VICTORIA TOPAZ,6,01 - Vancouver Island
##########,2019-02-19,12:00,Victoria Topaz,VICTORIA TOPAZ,19.5,01 - Vancouver Island
##########,2019-02-20,12:00,Victoria Topaz,VICTORIA TOPAZ,10.9,01 - Vancouver Island
##########,2019-02-21,12:00,Victoria Topaz,VICTORIA TOPAZ,2.7,01 - Vancouver Island
##########,2019-02-22,12:00,Victoria Topaz,VICTORIA TOPAZ,16.7,01 - Vancouver Island
##########,2019-02-23,12:00,Victoria Topaz,VICTORIA TOPAZ,2,01 - Vancouver Island
##########,2019-02-24,12:00,Victoria Topaz,VICTORIA TOPAZ,1.8,01 - Vancouver Island
##########,2019-02-25,12:00,Victoria Topaz,VICTORIA TOPAZ,1.5,01 - Vancouver Island
##########,2019-02-26,12:00,Victoria Topaz,VICTORIA TOPAZ,2.8,01 - Vancouver Island
##########,2019-02-27,12:00,Victoria Topaz,VICTORIA TOPAZ,4.7,01 - Vancouver Island
##########,2019-02-28,12:00,Victoria Topaz,VICTORIA TOPAZ,3.8,01 - Vancouver Island
##########,2019-03-01,12:00,Victoria Topaz,VICTORIA TOPAZ,5.6,01 - Vancouver Island
##########,2019-03-02,12:00,Victoria Topaz,VICTORIA TOPAZ,2.3,01 - Vancouver Island
##########,2019-03-03,12:00,Victoria Topaz,VICTORIA TOPAZ,1.6,01 - Vancouver Island
##########,2019-03-04,12:00,Victoria Topaz,VICTORIA TOPAZ,2.1,01 - Vancouver Island
##########,2019-03-05,12:00,Victoria Topaz,VICTORIA TOPAZ,4.7,01 - Vancouver Island
##########,2019-03-06,12:00,Victoria Topaz,VICTORIA TOPAZ,5.4,01 - Vancouver Island
##########,2019-03-07,12:00,Victoria Topaz,VICTORIA TOPAZ,11.1,01 - Vancouver Island
##########,2019-03-08,12:00,Victoria Topaz,VICTORIA TOPAZ,6.6,01 - Vancouver Island
##########,2019-03-09,12:00,Victoria Topaz,VICTORIA TOPAZ,6.7,01 - Vancouver Island
##########,2019-03-10,12:00,Victoria Topaz,VICTORIA TOPAZ,,01 - Vancouver Island
##########,2019-03-11,12:00,Victoria Topaz,VICTORIA TOPAZ,4.9,01 - Vancouver Island
##########,2019-03-12,12:00,Victoria Topaz,VICTORIA TOPAZ,13.9,01 - Vancouver Island
##########,2019-03-13,12:00,Victoria Topaz,VICTORIA TOPAZ,2.1,01 - Vancouver Island
##########,2019-03-14,12:00,Victoria Topaz,VICTORIA TOPAZ,8.2,01 - Vancouver Island
##########,2019-03-15,12:00,Victoria Topaz,VICTORIA TOPAZ,7,01 - Vancouver Island
##########,2019-03-16,12:00,Victoria Topaz,VICTORIA TOPAZ,5.2,01 - Vancouver Island
##########,2019-03-17,12:00,Victoria Topaz,VICTORIA TOPAZ,2.7,01 - Vancouver Island
##########,2019-03-18,12:00,Victoria Topaz,VICTORIA TOPAZ,4.4,01 - Vancouver Island
##########,2019-03-19,12:00,Victoria Topaz,VICTORIA TOPAZ,10.6,01 - Vancouver Island
##########,2019-03-20,12:00,Victoria Topaz,VICTORIA TOPAZ,4.1,01 - Vancouver Island
##########,2019-03-21,12:00,Victoria Topaz,VICTORIA TOPAZ,10.8,01 - Vancouver Island
##########,2019-03-22,12:00,Victoria Topaz,VICTORIA TOPAZ,2.9,01 - Vancouver Island
##########,2019-03-23,12:00,Victoria Topaz,VICTORIA TOPAZ,2.9,01 - Vancouver Island
##########,2019-03-24,12:00,Victoria Topaz,VICTORIA TOPAZ,10,01 - Vancouver Island
##########,2019-03-25,12:00,Victoria Topaz,VICTORIA TOPAZ,9.8,01 - Vancouver Island
##########,2019-03-26,12:00,Victoria Topaz,VICTORIA TOPAZ,4.3,01 - Vancouver Island
##########,2019-03-27,12:00,Victoria Topaz,VICTORIA TOPAZ,2.6,01 - Vancouver Island
##########,2019-03-28,12:00,Victoria Topaz,VICTORIA TOPAZ,4.4,01 - Vancouver Island
##########,2019-03-29,12:00,Victoria Topaz,VICTORIA TOPAZ,27.1,01 - Vancouver Island
##########,2019-03-30,12:00,Victoria Topaz,VICTORIA TOPAZ,18.2,01 - Vancouver Island
##########,2019-03-31,12:00,Victoria Topaz,VICTORIA TOPAZ,6.3,01 - Vancouver Island
##########,2019-04-01,12:00,Victoria Topaz,VICTORIA TOPAZ,2.8,01 - Vancouver Island
##########,2019-04-02,12:00,Victoria Topaz,VICTORIA TOPAZ,,01 - Vancouver Island
##########,2019-04-03,12:00,Victoria Topaz,VICTORIA TOPAZ,27.8,01 - Vancouver Island
##########,2019-04-04,12:00,Victoria Topaz,VICTORIA TOPAZ,2.1,01 - Vancouver Island
##########,2019-04-05,12:00,Victoria Topaz,VICTORIA TOPAZ,7.7,01 - Vancouver Island
##########,2019-04-06,12:00,Victoria Topaz,VICTORIA TOPAZ,3.9,01 - Vancouver Island
##########,2019-04-07,12:00,Victoria Topaz,VICTORIA TOPAZ,2.6,01 - Vancouver Island
##########,2019-04-08,12:00,Victoria Topaz,VICTORIA TOPAZ,5.2,01 - Vancouver Island
##########,2019-04-09,12:00,Victoria Topaz,VICTORIA TOPAZ,5.4,01 - Vancouver Island
##########,2019-04-10,12:00,Victoria Topaz,VICTORIA TOPAZ,11.5,01 - Vancouver Island
##########,2019-04-11,12:00,Victoria Topaz,VICTORIA TOPAZ,5.4,01 - Vancouver Island
##########,2019-04-12,12:00,Victoria Topaz,VICTORIA TOPAZ,5.9,01 - Vancouver Island
##########,2019-04-13,12:00,Victoria Topaz,VICTORIA TOPAZ,2.3,01 - Vancouver Island
##########,2019-04-14,12:00,Victoria Topaz,VICTORIA TOPAZ,3.7,01 - Vancouver Island
##########,2019-04-15,12:00,Victoria Topaz,VICTORIA TOPAZ,1.7,01 - Vancouver Island
##########,2019-04-16,12:00,Victoria Topaz,VICTORIA TOPAZ,6.2,01 - Vancouver Island
##########,2019-04-17,12:00,Victoria Topaz,VICTORIA TOPAZ,2.2,01 - Vancouver Island
##########,2019-04-18,12:00,Victoria Topaz,VICTORIA TOPAZ,7.8,01 - Vancouver Island
##########,2019-04-19,12:00,Victoria Topaz,VICTORIA TOPAZ,5.3,01 - Vancouver Island
##########,2019-04-20,12:00,Victoria Topaz,VICTORIA TOPAZ,5.7,01 - Vancouver Island
##########,2019-04-21,12:00,Victoria Topaz,VICTORIA TOPAZ,2.2,01 - Vancouver Island
##########,2019-04-22,12:00,Victoria Topaz,VICTORIA TOPAZ,8.2,01 - Vancouver Island
##########,2019-04-23,12:00,Victoria Topaz,VICTORIA TOPAZ,4.7,01 - Vancouver Island
##########,2019-04-24,12:00,Victoria Topaz,VICTORIA TOPAZ,2.8,01 - Vancouver Island
##########,2019-04-25,12:00,Victoria Topaz,VICTORIA TOPAZ,,01 - Vancouver Island
##########,2019-04-26,12:00,Victoria Topaz,VICTORIA TOPAZ,5.8,01 - Vancouver Island
##########,2019-04-27,12:00,Victoria Topaz,VICTORIA TOPAZ,3.3,01 - Vancouver Island
##########,2019-04-28,12:00,Victoria Topaz,VICTORIA TOPAZ,1.5,01 - Vancouver Island
